;-2430355,3600825;-2536226,19467088;-2651650,98061258;-2389356,05153443;-2530690,45042055;-2644077,40790913;-2398388,33538033;-2532434,84960863;-2662090,93853943;-2408789,01922196;-2541438,52709058;-2686535,14183041;-2407972,24191491;-2544133,55479134;-2655172,87726626;-2369047,10919385;-2531541,19771903;-2665696,95524155;-2409072,23391614;-2542317,35784146;-2674609,87784612;-2442296,11103473;-2541707,42887867;-2670183,0025632;-2433025,387645;-2535284,5266205;-2653937,63105254;-2366737,1175073;-2539888,2179448;-2686891,80494658
;-2400784,93944969;-2504091,58096204;-2646102,12388672;-2389356,05153443;-2488695,85075977;-2581506,18777011;-2370819,92583518;-2487726,5521424;-2668652,55211035;-2374946,34121203;-2508802,07406602;-2680709,83838853;-2373513,560165;-2506801,54908801;-2617499,64329718;-2369047,10919385;-2491883,66351762;-2666454,56027373;-2402248,71842995;-2505407,54739015;-2637593,11626258;-2399002,52172315;-2500237,08300168;-2606330,62036275;-2390415,06746092;-2497848,60751498;-2654290,56422836;-2366737,1175073;-2489280,04722552;-2651290,59002411
;-2374582,19218829;-2484359,30121584;-2633778,81595151;-2390134,629854;-2452576,6996549;-2638201,53686356;-2350428,8011374;-2443419,59410456;-2607480,15692524;-2374946,34121203;-2462589,38758141;-2594725,58030771;-2373513,560165;-2481931,09313881;-2628983,33216222;-2339791,58737391;-2445208,55442432;-2582137,94416582;-2352895,12931655;-2465316,69166111;-2590698,49859788;-2373746,77104882;-2473402,93465291;-2612682,22940678;-2371198,17555136;-2480884,6514194;-2635307,79231729;-2345682,52676641;-2459947,11537978;-2577076,99677565
;-2349083,23227597;-2464749,70497116;-2613906,78548863;-2378809,73683636;-2423998,10427333;-2559518,80804499;-2344684,26818381;-2403802,72334225;-2488410,31574598;-2346259,9305585;-2439777,50087604;-2599424,77110267;-2373513,560165;-2452625,97719315;-2576211,05938957;-2337154,56165104;-2422609,37587416;-2575763,99319837;-2338308,8301536;-2431750,29013714;-2574277,3453277;-2364575,46827834;-2440166,79744627;-2619422,00863975;-2318612,22640724;-2470027,28685348;-2580335,65569182;-2345682,52676641;-2447844,92911607;-2589605,87951978
;-2356810,04182514;-2430976,27162594;-2576677,75680444;-2360074,36263975;-2426338,20969063;-2580494,89282353;-2301765,68794263;-2395539,56665584;-2532612,9825564;-2327834,30255864;-2414893,70908783;-2560115,84810482;-2330790,65624647;-2424607,79308659;-2650421,85276928;-2329240,78245868;-2375290,01208136;-2544291,61382629;-2323147,0718101;-2396850,53668553;-2527286,38931104;-2355866,73697528;-2421041,87982994;-2560693,75292148;-2318612,22640724;-2441370,89583607;-2543478,58027237;-2345682,52676641;-2427531,39560156;-2599045,70203632
;-2339700,02591531;-2411458,07542913;-2548889,22664277;-2340493,96234495;-2407216,03624298;-2550740,67310263;-2293493,58692082;-2372512,98521761;-2515205,20097876;-2316259,38444339;-2404954,24894791;-2557475,59359002;-2331341,40413094;-2393077,63540091;-2501381,35730078;-2281262,84388111;-2348748,52376031;-2406615,17141015;-2291788,38116537;-2365736,82625933;-2555306,89144487;-2333699,88106613;-2385392,0291357;-2500661,86914569;-2318612,22640724;-2414241,90536191;-2594210,20108593;-2307473,31748944;-2405914,14291426;-2522899,79753692
;-2339246,91119917;-2399535,17333477;-2531495,48314153;-2340493,96234495;-2397882,54615157;-2570706,06843385;-2286458,22048574;-2350236,12329153;-2444049,61345873;-2301342,17154212;-2391659,14458978;-2596233,28796201;-2237591,41176868;-2368629,32866623;-2464949,11143488;-2262306,80315803;-2333683,58801786;-2430858,2503486;-2291788,38116537;-2367193,45002014;-2482039,41390718;-2315557,05796038;-2377937,83866203;-2524276,82515718;-2280030,02534554;-2388789,56281629;-2519183,05317468;-2302458,78580627;-2382551,91023047;-2546157,02569655
;-2317105,7171078;-2376102,18604909;-2512551,76617145;-2315599,34563846;-2389051,9815138;-2515718,91801407;-2273623,76315847;-2340215,18420199;-2470840,80480557;-2295973,43358457;-2374467,75336128;-2608823,59753122;-2221774,90214108;-2348572,56914941;-2432620,60026117;-2248474,8839022;-2301677,80682618;-2376812,3508107;-2278360,55211763;-2340639,29522295;-2463071,21917229;-2291233,35724887;-2365010,84535441;-2475111,78424115;-2280030,02534554;-2357339,51024356;-2502476,18019957;-2302459,86542644;-2361823,48919001;-2459743,42888833
;-2283893,5896415;-2373312,07564522;-2527842,07287708;-2307393,29272331;-2367530,33910395;-2480550,14486173;-2248453,26966841;-2321781,37015091;-2484478,03958477;-2295211,69208012;-2366865,25855493;-2517901,70212703;-2220069,94832894;-2317189,8339569;-2460485,25980804;-2235802,47379294;-2276409,2742605;-2375331,91905737;-2248079,61259419;-2318462,29118839;-2442555,38491668;-2298049,17796086;-2355140,82134361;-2466644,92591565;-2244434,25148177;-2321699,36573953;-2459802,04347764;-2280623,81683257;-2342856,09277142;-2502162,65945737
;-2283893,5896415;-2357761,15401523;-2481137,89293873;-2289416,55090644;-2349940,66220488;-2470222,16204345;-2208961,93553219;-2301656,12082385;-2436584,75302768;-2248567,91583286;-2341987,51634305;-2475223,28688767;-2213242,94298267;-2265731,51151076;-2353438,6427978;-2230952,75656091;-2260025,82801421;-2331376,99081037;-2246428,96482713;-2302114,22139487;-2456240,88770349;-2287070,12300492;-2339688,71137029;-2429724,82743906;-2244434,25148177;-2334564,86985129;-2492437,44105719;-2268717,95505628;-2329555,1896293;-2450056,9954261
